,filename_seg,counted
380,96 well image example__B12__3.jpg,1
381,96 well image example__B12__4.jpg,0
382,96 well image example__B12__5.jpg,2
383,96 well image example__B12__6.jpg,1
384,96 well image example__B12__7.jpg,1
385,96 well image example__B12__8.jpg,1
386,96 well image example__B12__9.jpg,1
387,96 well image example__B12__10.jpg,1
388,96 well image example__B12__11.jpg,1
389,96 well image example__B12__12.jpg,1
390,96 well image example__B12__13.jpg,1
391,96 well image example__B12__14.jpg,1
392,96 well image example__B12__15.jpg,1
393,96 well image example__C1__0.jpg,0
394,96 well image example__C2__1.jpg,1
395,96 well image example__C2__2.jpg,1
396,96 well image example__C2__3.jpg,1
397,96 well image example__C2__4.jpg,1
398,96 well image example__C2__5.jpg,1
399,96 well image example__C2__6.jpg,1
400,96 well image example__C2__7.jpg,2
401,96 well image example__C2__8.jpg,2
402,96 well image example__C2__9.jpg,1
403,96 well image example__C2__10.jpg,1
404,96 well image example__C2__11.jpg,1
405,96 well image example__C2__12.jpg,2
406,96 well image example__C2__13.jpg,2
407,96 well image example__C2__14.jpg,1
408,96 well image example__C2__15.jpg,2
409,96 well image example__C2__16.jpg,1
410,96 well image example__C2__17.jpg,2
411,96 well image example__C2__18.jpg,3
412,96 well image example__C2__19.jpg,2
413,96 well image example__C3__1.jpg,2
414,96 well image example__C3__2.jpg,1
415,96 well image example__C3__3.jpg,1
416,96 well image example__C3__4.jpg,1
417,96 well image example__C3__5.jpg,0
418,96 well image example__C3__6.jpg,2
419,96 well image example__C3__7.jpg,1
420,96 well image example__C3__8.jpg,1
421,96 well image example__C3__9.jpg,1
422,96 well image example__C3__10.jpg,0
423,96 well image example__C3__11.jpg,1
424,96 well image example__C3__12.jpg,1
425,96 well image example__C3__13.jpg,0
426,96 well image example__C4__1.jpg,2
427,96 well image example__C4__2.jpg,1
428,96 well image example__C4__3.jpg,0
429,96 well image example__C4__4.jpg,0
430,96 well image example__C4__5.jpg,2
431,96 well image example__C4__6.jpg,4
432,96 well image example__C4__7.jpg,1
433,96 well image example__C4__8.jpg,1
434,96 well image example__C4__9.jpg,1
435,96 well image example__C4__10.jpg,1
436,96 well image example__C4__11.jpg,1
437,96 well image example__C4__12.jpg,1
438,96 well image example__C4__13.jpg,1
439,96 well image example__C4__14.jpg,1
440,96 well image example__C4__15.jpg,2
441,96 well image example__C4__16.jpg,0
442,96 well image example__C4__17.jpg,2
443,96 well image example__C4__18.jpg,1
444,96 well image example__C4__19.jpg,1
445,96 well image example__C5__1.jpg,1
446,96 well image example__C5__2.jpg,2
447,96 well image example__C5__3.jpg,2
448,96 well image example__C5__4.jpg,1
449,96 well image example__C5__5.jpg,1
450,96 well image example__C5__6.jpg,1
451,96 well image example__C5__7.jpg,1
452,96 well image example__C5__8.jpg,1
453,96 well image example__C5__9.jpg,1
454,96 well image example__C5__10.jpg,1
455,96 well image example__C5__11.jpg,1
456,96 well image example__C5__12.jpg,1
457,96 well image example__C6__1.jpg,1
458,96 well image example__C6__2.jpg,1
459,96 well image example__C6__3.jpg,1
460,96 well image example__C6__4.jpg,2
461,96 well image example__C6__5.jpg,1
462,96 well image example__C6__6.jpg,1
463,96 well image example__C6__7.jpg,5
464,96 well image example__C6__8.jpg,1
465,96 well image example__C6__9.jpg,1
466,96 well image example__C6__10.jpg,3
467,96 well image example__C6__11.jpg,2
468,96 well image example__C6__12.jpg,1
469,96 well image example__C6__13.jpg,1
470,96 well image example__C6__14.jpg,1
471,96 well image example__C6__15.jpg,2
472,96 well image example__C6__16.jpg,1
473,96 well image example__C7__1.jpg,1
474,96 well image example__C7__2.jpg,1
475,96 well image example__C7__3.jpg,1
476,96 well image example__C7__4.jpg,1
477,96 well image example__C7__5.jpg,1
478,96 well image example__C7__6.jpg,1
479,96 well image example__C7__7.jpg,1
480,96 well image example__C7__8.jpg,1
481,96 well image example__C7__9.jpg,2
482,96 well image example__C7__10.jpg,1
483,96 well image example__C7__11.jpg,1
484,96 well image example__C7__12.jpg,1
485,96 well image example__C7__13.jpg,2
486,96 well image example__C7__14.jpg,1
487,96 well image example__C7__15.jpg,1
488,96 well image example__C7__16.jpg,1
489,96 well image example__C8__1.jpg,1
490,96 well image example__C8__2.jpg,4
491,96 well image example__C8__3.jpg,2
492,96 well image example__C8__4.jpg,1
493,96 well image example__C8__5.jpg,1
494,96 well image example__C8__6.jpg,1
495,96 well image example__C8__7.jpg,1
496,96 well image example__C8__8.jpg,1
497,96 well image example__C8__9.jpg,1
498,96 well image example__C8__10.jpg,1
499,96 well image example__C8__11.jpg,1
500,96 well image example__C8__12.jpg,1
501,96 well image example__C8__13.jpg,1
502,96 well image example__C8__14.jpg,1
503,96 well image example__C8__15.jpg,1
504,96 well image example__C9__1.jpg,1
505,96 well image example__C9__2.jpg,3
506,96 well image example__C9__3.jpg,2
507,96 well image example__C9__4.jpg,1
508,96 well image example__C9__5.jpg,2
509,96 well image example__C9__6.jpg,1
510,96 well image example__C9__7.jpg,1
511,96 well image example__C9__8.jpg,7
512,96 well image example__C9__9.jpg,3
513,96 well image example__C9__10.jpg,1
514,96 well image example__C9__11.jpg,3
515,96 well image example__C9__12.jpg,2
516,96 well image example__C10__1.jpg,1
517,96 well image example__C10__2.jpg,1
518,96 well image example__C10__3.jpg,1
519,96 well image example__C10__4.jpg,1
520,96 well image example__C10__5.jpg,1
521,96 well image example__C10__6.jpg,1
522,96 well image example__C10__7.jpg,1
523,96 well image example__C10__8.jpg,4
524,96 well image example__C10__9.jpg,1
525,96 well image example__C10__10.jpg,1
526,96 well image example__C10__11.jpg,1
527,96 well image example__C11__1.jpg,1
528,96 well image example__C11__2.jpg,1
529,96 well image example__C11__3.jpg,3
530,96 well image example__C11__4.jpg,3
531,96 well image example__C11__5.jpg,3
532,96 well image example__C11__6.jpg,1
533,96 well image example__C11__7.jpg,1
534,96 well image example__C11__8.jpg,1
535,96 well image example__C11__9.jpg,1
536,96 well image example__C11__10.jpg,1
537,96 well image example__C11__11.jpg,1
538,96 well image example__C11__12.jpg,1
539,96 well image example__C11__13.jpg,1
540,96 well image example__C11__14.jpg,1
541,96 well image example__C11__15.jpg,4
542,96 well image example__C11__16.jpg,1
543,96 well image example__C12__1.jpg,2
544,96 well image example__C12__2.jpg,1
545,96 well image example__C12__3.jpg,1
546,96 well image example__C12__4.jpg,1
547,96 well image example__C12__5.jpg,1
548,96 well image example__C12__6.jpg,0
549,96 well image example__C12__7.jpg,1
550,96 well image example__C12__8.jpg,0
551,96 well image example__C12__9.jpg,1
552,96 well image example__C12__10.jpg,1
553,96 well image example__C12__11.jpg,1
554,96 well image example__C12__12.jpg,2
555,96 well image example__C12__13.jpg,1
556,96 well image example__C12__14.jpg,4
557,96 well image example__C12__15.jpg,1
558,96 well image example__C12__16.jpg,1
559,96 well image example__D1__1.jpg,1
560,96 well image example__D1__2.jpg,3
561,96 well image example__D1__3.jpg,10
562,96 well image example__D1__4.jpg,1
563,96 well image example__D1__5.jpg,1
564,96 well image example__D1__6.jpg,1
565,96 well image example__D1__7.jpg,3
566,96 well image example__D1__8.jpg,1
567,96 well image example__D1__9.jpg,1
568,96 well image example__D1__10.jpg,1
569,96 well image example__D1__11.jpg,1
570,96 well image example__D1__12.jpg,1
571,96 well image example__D1__13.jpg,1
572,96 well image example__D1__14.jpg,2
573,96 well image example__D1__15.jpg,1
574,96 well image example__D1__16.jpg,1
575,96 well image example__D2__1.jpg,2
576,96 well image example__D2__2.jpg,1
577,96 well image example__D2__3.jpg,1
578,96 well image example__D2__4.jpg,2
579,96 well image example__D2__5.jpg,2
580,96 well image example__D2__6.jpg,1
581,96 well image example__D2__7.jpg,1
582,96 well image example__D2__8.jpg,1
583,96 well image example__D2__9.jpg,1
584,96 well image example__D2__10.jpg,1
585,96 well image example__D2__11.jpg,1
586,96 well image example__D2__12.jpg,1
587,96 well image example__D2__13.jpg,1
588,96 well image example__D2__14.jpg,3
589,96 well image example__D2__15.jpg,1
590,96 well image example__D2__16.jpg,1
591,96 well image example__D3__1.jpg,2
592,96 well image example__D3__2.jpg,2
593,96 well image example__D3__3.jpg,1
594,96 well image example__D3__4.jpg,2
595,96 well image example__D3__5.jpg,1
596,96 well image example__D3__6.jpg,2
597,96 well image example__D3__7.jpg,1
598,96 well image example__D3__8.jpg,1
599,96 well image example__D3__9.jpg,1
600,96 well image example__D3__10.jpg,1
601,96 well image example__D3__11.jpg,1
602,96 well image example__D3__12.jpg,1
603,96 well image example__D3__13.jpg,1
604,96 well image example__D3__14.jpg,1
605,96 well image example__D3__15.jpg,2
606,96 well image example__D3__16.jpg,1
607,96 well image example__D4__1.jpg,1
608,96 well image example__D4__2.jpg,1
609,96 well image example__D4__3.jpg,1
610,96 well image example__D4__4.jpg,2
611,96 well image example__D4__5.jpg,1
612,96 well image example__D4__6.jpg,2
613,96 well image example__D4__7.jpg,2
614,96 well image example__D4__8.jpg,1
615,96 well image example__D4__9.jpg,2
616,96 well image example__D4__10.jpg,1
617,96 well image example__D4__11.jpg,3
618,96 well image example__D4__12.jpg,1
619,96 well image example__D4__13.jpg,1
620,96 well image example__D4__14.jpg,1
621,96 well image example__D4__15.jpg,1
622,96 well image example__D4__16.jpg,1
623,96 well image example__D4__17.jpg,1
624,96 well image example__D4__18.jpg,1
625,96 well image example__D4__19.jpg,1
626,96 well image example__D5__1.jpg,1
627,96 well image example__D5__2.jpg,1
628,96 well image example__D5__3.jpg,1
629,96 well image example__D5__4.jpg,1
630,96 well image example__D5__5.jpg,1
631,96 well image example__D5__6.jpg,1
632,96 well image example__D5__7.jpg,2
633,96 well image example__D5__8.jpg,1
634,96 well image example__D5__9.jpg,1
635,96 well image example__D5__10.jpg,1
636,96 well image example__D5__11.jpg,1
637,96 well image example__D5__12.jpg,1
